source,destination,service_type,fare
2nd STNICERD,AYPT,Bengaluru Sarige,23
2nd STNICERD,belc1,Bengaluru Sarige,28
2nd STNICERD,BLGC1,Bengaluru Sarige,28
2nd STNICERD,CKB9,Bengaluru Sarige,18
2nd STNICERD,CMDSLY,Bengaluru Sarige,28
2nd STNICERD,CNB,Bengaluru Sarige,28
2nd STNICERD,DODBM,Bengaluru Sarige,28
2nd STNICERD,DODBMA,Bengaluru Sarige,28
2nd STNICERD,DRPRY,Bengaluru Sarige,28
2nd STNICERD,ECHLM,Bengaluru Sarige,28
2nd STNICERD,ELC1,Bengaluru Sarige,32
2nd STNICERD,GVRDN1,Bengaluru Sarige,24
2nd STNICERD,IAF8,Bengaluru Sarige,23
2nd STNICERD,INFLT1,Bengaluru Sarige,32
2nd STNICERD,JONICERD,Bengaluru Sarige,12
2nd STNICERD,KNA1,Bengaluru Sarige,32
2nd STNICERD,LVNKTL,Bengaluru Sarige,28
2nd STNICERD,NCFTL,Bengaluru Sarige,18
2nd STNICERD,NICE1STN1,Bengaluru Sarige,6
2nd STNICERD,NICE3STN,Bengaluru Sarige,6
2nd STNICERD,NICE4STN,Bengaluru Sarige,12
2nd STNICERD,NICE5STN,Bengaluru Sarige,23
2nd STNICERD,NICE6STN,Bengaluru Sarige,23
2nd STNICERD,NICE7STN,Bengaluru Sarige,24
2nd STNICERD,NICE8STN,Bengaluru Sarige,24
2nd STNICERD,SHC,Bengaluru Sarige,23
2nd STNICERD,SMSNS,Bengaluru Sarige,32
2nd STNICERD,VPRAPOST,Bengaluru Sarige,28
2nd STNICERD,VRP1B1,Bengaluru Sarige,28
2nd STNICERD,VRP3B,Bengaluru Sarige,28
2nd STNICERD,WPTGT1,Bengaluru Sarige,35
2nd STNICERD,YTTMC1,Bengaluru Sarige,24
8thML,CDNLGR,Bengaluru Sarige,23
8thML,CHWNG,Bengaluru Sarige,23
A R C,ADH1,Bengaluru Sarige,28
A R C,ADHCR,Bengaluru Sarige,30
A R C,ALKHG,Bengaluru Sarige,33
A R C,ALR,Bengaluru Sarige,30
A R C,ALRPL1,Bengaluru Sarige,30
A R C,AMBS1,Bengaluru Sarige,33
A R C,AMHB,Bengaluru Sarige,30
A R C,ANDHGS,Bengaluru Sarige,28
A R C,ARVS1,Bengaluru Sarige,35
A R C,ATTGP,Bengaluru Sarige,28
A R C,avlkup,Bengaluru Sarige,30
A R C,AVRHLC1,Bengaluru Sarige,30
A R C,BDHL,Bengaluru Sarige,33
